show_id,type,title,listed_in,description
81016044,Movie,Bangkok Traffic (Love) Story,Comedies  International Movies  Romantic Movies,"After an encounter with an engineer working the night shift for the city train, a 30-year-old woman struggles against all odds to pursue true love."
80158838,Movie,I Fine... Thank You... Love You,Comedies  International Movies  Romantic Movies,"Desperate to go to the U.S. to win back his girlfriend, Yim hires a tutor to teach him English. But things don't go according to plan."
81016045,Movie,One Day,Dramas  International Movies  Romantic Movies,"When his colleague (and crush) temporarily loses her memory, an overlooked geek seizes the chance to make an impression before she remembers again."
70142798,Movie,Phobia 2,Horror Movies  International Movies,"From disfiguring punishments to festering souls, Thai horror masters present five supernatural tales of karma in this sequel to the 4bia anthology."
70062814,Movie,Shutter,Horror Movies  International Movies,"After killing a young girl in a hit-and-run accident, a couple is haunted by more than just the memory of their deadly choice."
80158839,Movie,Suckseed,Comedies  International Movies,"When his boyhood crush Ern returns, Ped forms a band with his friend to impress her. Romantic rivalries bloom after the talented Ern joins the group."
80147760,Movie,Carrie Pilby,Comedies  Dramas,"A socially awkward 19-year-old genius makes big plans to step out of her shell and make a friend, get a job and – maybe – even go on a date."
80177405,Movie,Marc Maron: Too Real,Stand-Up Comedy,"Battle-scarred stand-up comedian Marc Maron unleashes a storm of ideas about meditation, mortality, documentary films and our weird modern world."
80113482,TV Show,No Tomorrow,Romantic TV Shows  TV Comedies  TV Dramas,"Her straitjacketed life turned topsy-turvy by hunky Xavier, Evie discovers a new freedom – even though her man just might be an end-of-days crackpot."
81160036,Movie,Saawan,Dramas  Independent Movies  International Movies,"Outcast from society and left to die in the wilderness, a young boy with polio embarks on a journey to connect with his mother. Based on a true story."
81173255,Movie,The Heretics,Horror Movies,A withdrawn young woman hunted by a malicious cult is abducted by a brooding stranger and undergoes a bizarre transformation.
81078908,Movie,The World We Make,Dramas  Romantic Movies,"A teenage equestrian and a local football player for each other, but simmering racism in their small town puts their relationship to the test."
81155784,Movie,Watchman,Comedies  Dramas  International Movies,"Rushing to pay off a loan shark, a young man breaks into a bungalow to steal the cash, unprepared for the dog standing guard – or the trouble inside."
80201906,Movie,Black Panther,Action & Adventure  Sci-Fi & Fantasy,"T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new."
80052612,Movie,Man Up,Comedies  International Movies  Romantic Movies,"A single woman seizes an opportunity when, while standing under a train station clock, she meets a stranger who mistakes her for his blind date."
80113641,TV Show,Frequency,Crime TV Shows  TV Dramas  TV Mysteries,"A detective seizes a precious opportunity to change the past when she finds she can communicate with her deceased, estranged father via a time warp."
81054495,Movie,Mo Gilligan: Momentum,Stand-Up Comedy,"Comedian Mo Gilligan blends smooth moves and sharp humor as he riffs on humble beginnings, family dynamics and the complex art of dancing in the club."
80996949,TV Show,Adam Ruins Everything,TV Comedies,"Education can be fun – and funny. Comedian Adam Conover bursts misconceptions, deconstructs topics and leaves with positive takeaways."
80239337,TV Show,Ben 10,Kids' TV,Ben can transform into ten types of aliens. He'll try 'em all while adventuring across the country with his cousin Gwen and Grandpa Max.
70212504,Movie,Big Miracle,Children & Family Movies  Dramas,"After a reporter writes about whales trapped in the Arctic Circle, the U.S. and U.S.S.R. team up to rescue them in this tale inspired by true events."
81011682,TV Show,Christiane Amanpour: Sex & Love Around the World,Docuseries,"A contextual, acculturated dive into how adults in six, big global cities celebrate love and accentuate sex. CNN's Christiane Amanpour reports."
80128317,TV Show,The Eighties,Docuseries,"This nostalgic documentary series relives the 1980s from a variety of angles, exploring its impact on the politics, technology and culture of today."
81027384,TV Show,The Nineties,Docuseries,This U.S.-focused series dives into the cultural and political changes that swept the last decade of the 20th century. Executive produced by Tom Hanks.
80030186,TV Show,The Seventies,Docuseries,"This series examines 1970s America, focusing on the major political and historical landmarks of the decade and the cultural response to those events."
80116921,TV Show,We Bare Bears,Kids' TV  TV Comedies,"Grizzly, Panda and Ice Bear are three adopted bear brothers struggling against their animal instincts to fit into the civilized, modern human world."
80187061,Movie,The Mayor,Dramas  International Movies,"With the presidency in mind, the incumbent mayor of Seoul runs for an unprecedented third term – and will stop at nothing to keep his secrets hidden."
80181555,TV Show,The Royal House of Windsor,British TV Shows  Docuseries  International TV Shows,"Drawing on newly available info, this show traces how the British royal family has survived the last 100 years of power struggles, politics and more."
80081155,Movie,Amanda Knox,Documentaries,She was twice convicted and acquitted of murder. Amanda Knox and the people closest to her case speak out in this illuminating documentary.
80184358,TV Show,Lovesick,International TV Shows  Romantic TV Shows  TV Dramas,Love and academics get complicated at an all-male college that happens to be located next to an all-female high school.
80198585,Movie,The Debt Collector,Action & Adventure,"A broke martial arts instructor takes a side gig with a mobster, who pairs him with a veteran thug for a weekend of fisticuffs-fueled debt collection."
70233894,Movie,Act of Vengeance,Action & Adventure  International Movies,"Two Turkish agents are sent to New York City on a mission to capture a notorious terrorist known only as ""Dejjal"" (Arabic for Antichrist)."
81011955,Movie,Paradise Lost,Dramas  Independent Movies  International Movies,"A cop moonlights as the bodyguard for a young drag queen at a nightclub, and grows closer to the family of misfit singers that perform there."
80128722,Movie,Gerald's Game,Horror Movies  Thrillers,"When her husband's sex game goes wrong, Jessie – handcuffed to a bed in a remote lake house – faces warped visions, dark secrets and a dire choice."
80182115,Movie,Long Shot,Documentaries,"When Juan Catalan is arrested for a murder he didn't commit, he builds his case for innocence around raw footage from a popular TV show. A documentary."
80163293,TV Show,Mak Cun,International TV Shows  TV Comedies  TV Dramas,A woman with an entrepreneurial spirit takes life into her own hands by starting a beauty cream business that inspires other women to take chances.
80104068,Movie,Our Souls at Night,Dramas  Romantic Movies,"After widowed neighbors Addie and Louis begin sleeping in bed together platonically to alleviate their loneliness, a real romance begins to blossom."
80119349,Movie,Out of Thin Air,Documentaries  International Movies,"Picking up 40 years after six were convicted for two strange murders in Iceland, this chilling documentary proves confessions can’t always be trusted."
80199032,TV Show,Paul Hollywood's Big Continental Road Trip,British TV Shows  Docuseries  International TV Shows,"Gear up for a fast-paced journey as celebrity chef and avid auto enthusiast Paul Hollywood takes in the cars and culture of France, Italy and Germany."
80180449,TV Show,Satu Hari,International TV Shows  TV Dramas,"A man haunted by his wife's affair moves to Sarajevo and starts to love again, until fate forces him to choose between his new life and old loyalty."
80019931,Movie,"Monster High: Boo York, Boo York",Children & Family Movies  Music & Musicals,Cleo is invited to a gala in the big city celebrating a magical comet and brings her best friends along. But the sinister Nefera has other plans.
81053893,Movie,Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna,Documentaries  International Movies,An in-depth look at the full-cycle breeding program for bluefin Kindai tuna pioneered by Kinki University’s Aqua Culture Research Institute.
80200087,Movie,Domino,International Movies  Thrillers,"A Copenhagen police officer hunts for the man who attacked his partner, only to stumble into a high-stakes game of espionage."
81053892,Movie,TUNA GIRL,Dramas  International Movies,A clumsy but cheerful fisheries student struggles to find her place at a research institute renowned for its tuna cultivation. The work isn't easy.
81002850,Movie,5CM,Dramas  International Movies,"Five friends embark on a mission to climb the highest peak in Java, overcoming obstacles on the way and discovering the true meaning of friendship."
